BVP,EDA,TEMP,ACC_Mag,Label
-0.49,2.015176,33.39,138.28955130450024,0
-23.2,2.012617,33.37,119.9458211026962,0
10.48,2.001103,33.37,91.89668111526117,0
-0.09,2.030529,33.37,69.2098258919931,0
-55.02,1.979353,33.37,66.21933252457322,0
-165.62,1.965279,33.34,63.41135544995076,0
143.55,1.960162,33.34,64.17164482853778,0
37.47,1.972197,33.34,65.0384501660364,0
19.91,1.968359,33.34,64.93843238021688,0
6.0,1.96452,33.34,64.93843238021688,0
12.92,1.968359,33.34,64.85368146836385,0
-18.61,1.960682,33.34,64.93843238021688,0
1.16,1.98627,33.34,64.93843238021688,0
13.64,1.995226,33.34,64.93843238021688,0
-19.85,2.001623,33.34,63.53739056650029,0
16.87,2.00802,33.34,64.17164482853778,0
-4.26,2.00802,33.34,108.9954127475097,0
-14.91,2.014417,33.37,105.9197809665409,0
8.64,2.118049,33.37,68.45436436049933,0
-23.28,2.034888,33.37,64.07807737440318,0
-25.54,2.024652,33.37,64.17164482853778,0
1.46,2.019535,33.34,64.50581369148055,0
-16.26,2.02977,33.34,64.64518543557594,0
1.22,2.015697,33.34,64.64518543557594,0
20.99,2.027211,33.34,64.47480127925948,0
-41.3,2.031049,33.37,64.63745044476924,0
-6.32,2.032329,33.37,66.76076692189807,0
-31.11,2.047682,33.37,65.33758489567853,0
-20.7,2.056638,33.37,65.49045732013177,0
-2.24,2.063035,33.34,65.22269543648132,0
-75.79,2.068152,33.34,64.2339474110069,0
95.49,2.07199,33.34,63.812224534175265,0
-1.88,2.063035,33.34,65.0384501660364,0
22.69,2.07199,33.34,63.34824385884742,0
28.06,2.166666,33.34,64.53681120105021,0
7.22,2.185857,33.34,65.12296062065974,0
-53.96,2.176902,33.34,64.62197768561404,0
47.18,2.169225,33.34,65.12296062065974,0
144.99,2.165387,33.34,64.62197768561404,0
9.3,2.160269,33.34,65.06919393998976,0
-26.38,2.164108,33.34,64.69157595854347,0
26.48,2.15899,33.39,63.914004725099176,0
-14.53,2.165387,33.39,65.07687761409578,0
9.56,2.18074,33.39,64.33506042586733,0
-23.23,2.193534,33.39,65.19969325081216,0
-4.88,2.194813,33.37,63.26136261573884,0
45.96,2.192254,33.37,64.50581369148055,0
63.65,2.184578,33.37,64.89221833163049,0
31.6,2.203769,33.37,64.89221833163049,0
66.49,2.197372,33.37,63.56886030125127,0
56.63,2.190975,33.37,65.85590330410783,0
-366.15,2.193534,33.37,64.45153217728807,0
-14.3,2.188416,33.37,63.702433234531945,0
16.55,2.192254,33.37,64.5832795698701,0
-14.66,2.183299,33.37,64.5832795698701,0
15.73,2.189696,33.37,64.69157595854347,0
22.57,2.188416,33.37,64.69157595854347,0
37.92,2.187137,33.37,64.79197481170026,0
-64.45,2.188416,33.37,64.79197481170026,0
-67.34,2.185857,33.37,64.33506042586733,0
29.67,2.185857,33.37,64.69157595854347,0
16.46,2.182019,33.37,64.79197481170026,0
6.81,2.188416,33.37,64.69157595854347,0
-4.19,2.178181,33.37,64.33506042586733,0
-24.17,2.182019,33.37,64.79197481170026,0
11.09,2.174343,33.34,64.79197481170026,0
-33.49,2.185857,33.34,64.79197481170026,0
31.99,2.17946,33.34,64.33506042586733,0
86.16,2.18074,33.34,65.22269543648132,0
24.26,2.18074,33.34,64.33506042586733,0
-11.64,2.175622,33.34,64.33506042586733,0
-18.11,2.176902,33.34,65.22269543648132,0
-25.82,2.171784,33.34,64.33506042586733,0
-2.18,2.175622,33.34,64.33506042586733,0
3.28,2.166666,33.34,65.12296062065974,0
-13.79,2.173063,33.34,64.33506042586733,0
-2.55,2.164108,33.34,64.79197481170026,0
12.93,2.170505,33.34,65.22269543648132,0
