BVP,EDA,TEMP,ACC_Mag,Label
-3.69,0.169117,32.53,197.51455642559614,0
-25.2,0.164001,32.53,70.00714249274856,0
-39.76,0.167838,32.53,62.457985878508765,0
-114.0,0.155047,32.53,40.23679907746142,0
-162.01,0.158884,32.53,69.01449123191448,0
112.03,0.162722,32.53,61.84658438426491,0
101.42,0.171676,32.53,64.89221833163049,0
-69.1,0.181909,32.53,63.4428877022476,0
-55.24,0.192143,32.53,62.297672508690084,0
70.92,0.203655,32.53,63.7808748764079,0
56.3,0.212609,32.53,62.369864518050704,0
-4.7,0.22796,32.53,63.3798075099633,0
-18.33,0.267614,32.53,62.369864518050704,0
16.31,0.308547,32.53,63.26926584053272,0
6.39,0.36739,32.53,63.26926584053272,0
-30.5,0.422394,32.53,63.63961030678928,0
11.44,0.441582,32.53,63.8200595424354,0
28.1,0.449257,32.53,62.00806399170998,0
-7.54,0.453094,32.55,62.928530890209096,0
-27.59,0.456932,32.55,63.592452382338585,0
24.45,0.455653,32.55,62.68173577685928,0
15.04,0.45949,32.55,60.73713855624086,0
-37.97,0.455653,32.55,67.32755750805164,0
10.98,0.449257,32.55,181.9313057172954,0
-22.88,0.410881,32.55,89.08984229416954,0
-96.74,0.422394,32.55,98.10198774744578,0
2.18,0.414719,32.53,49.80963762164909,0
12.01,0.423673,32.53,60.77005841695399,0
49.92,0.436465,32.53,63.812224534175265,0
-11.49,0.442861,32.53,65.55150646628954,0
44.27,0.451815,32.55,62.617888817813075,0
9.52,0.482515,32.55,64.1404708432983,0
13.87,0.531124,32.55,64.68384651518491,0
26.74,0.58357,32.55,65.06150935845248,0
-0.12,0.639854,32.53,64.96922348312314,0
-1.99,0.687183,32.53,63.3798075099633,0
75.1,0.743467,32.53,62.88083968904996,0
-13.37,0.815101,32.53,63.984373092185564,0
-51.55,0.873943,32.53,63.15853069855251,0
16.86,0.914876,32.53,63.45076831686122,0
5.48,0.98651,32.53,63.15853069855251,0
-38.12,1.11059,32.53,64.47480127925948,0
-8.22,1.136242,32.53,63.15853069855251,0
16.5,1.181013,32.53,63.984373092185564,0
-6.78,1.195084,32.53,63.984373092185564,0
-46.69,1.219389,32.53,63.50590523722971,0
19.53,1.209155,32.55,60.249481325568276,0
9.8,1.193805,32.55,56.586217403180434,0
-46.71,1.172059,32.55,67.36467917239716,0
11.27,1.161826,32.55,74.97332859090625,0
-0.7,1.145197,32.53,72.42927584892728,0
-38.2,1.133684,32.53,58.249463516842795,0
59.24,1.126009,32.53,68.30080526611674,0
81.27,1.106821,32.53,67.34983296193094,0
-94.58,1.097867,32.53,68.5638388656878,0
-262.83,1.088913,32.53,66.91786009728644,0
-178.99,1.078679,32.53,63.56886030125127,0
-58.13,1.072284,32.53,63.35613624582863,0
31.73,1.067167,32.53,67.12674578735364,0
57.33,1.056934,32.53,61.74949392505172,0
154.13,1.054375,32.53,63.190189111918315,0
107.31,1.054375,32.53,65.27633568147036,0
-2.04,1.051817,32.55,62.72160712226688,0
35.09,1.051817,32.55,64.8459713474939,0
170.37,1.047979,32.55,66.73829485385434,0
-118.82,1.044142,32.55,64.08587988004847,0
41.66,1.036467,32.53,66.27216610312357,0
61.96,1.033908,32.53,68.07348970047003,0
-58.85,1.03135,32.53,59.33801479658719,0
13.24,1.026233,32.53,71.65193647069142,0
58.73,1.021117,32.53,65.90902821313632,0
-0.62,1.009604,32.53,64.17164482853778,0
123.72,1.016,32.53,64.57553716385176,0
65.49,1.016,32.53,64.10148204214939,0
45.83,1.016,32.55,64.57553716385176,0
-89.29,1.023675,32.55,65.52098900352466,0
6.34,1.035188,32.55,64.10148204214939,0
-134.27,1.036467,32.55,64.10148204214939,0
24.77,1.032629,32.53,64.2339474110069,0
-28.53,1.026233,32.53,64.52131430775415,0
21.06,1.017279,32.53,65.46754921333164,0
42.27,1.012162,32.53,63.608175575157006,0
26.81,0.999371,32.53,65.18435395092905,0
-55.89,0.990416,32.53,64.10928169929842,0
25.85,0.984021,32.53,62.20128616033595,0
211.82,0.981462,32.53,63.96092557178953,0
-25.45,0.972508,32.5,64.52131430775415,0
-138.28,0.971229,32.5,64.10928169929842,0
-182.48,0.959716,32.5,64.2339474110069,0
-10.78,0.957158,32.5,63.96092557178953,0
-11.04,0.949483,32.55,63.82789358893179,0
-51.24,0.948204,32.55,62.8728876384726,0
-0.67,0.940529,32.55,63.608175575157006,0
9.68,0.940529,32.55,65.12296062065974,0
1.63,0.932854,32.55,63.88270501473775,0
-76.25,0.925179,32.55,64.8382603097893,0
-60.5,0.921341,32.55,63.984373092185564,0
-27.44,0.917503,32.55,66.85057965343307,0
-3.35,0.914945,32.53,63.74950980203691,0
